reco_date,concept_id,layer,need_state,bfc,spend,cpbfc,median_at_time,reason,ad_ids,action_taken,action_timing
2026-07-19,JUN26-C-086,L1,NET,11,21398.07,1945.28,1339.02,"efficiency (>= 1.0x median Rs1,339)",120250735383360343,No,
2026-07-19,JUN26-C-069,L2,MCR,106,195716.11,1846.38,1339.02,"efficiency (>= 1.0x median Rs1,339)",120249841476420343,No,
2026-07-19,JUN26-T-063,L2,MCR,240,338726.66,1411.36,1339.02,"efficiency (>= 1.0x median Rs1,339)",120250387732040343,No,
2026-07-20,JUN26-C-069,L2,MCR,111,199725.48,1799.33,1303.39,"efficiency (>= 1.0x median Rs1,303)",120249841476420343,Yes,Late
2026-07-20,JUN26-C-086,L1,NET,18,24940.79,1385.6,1303.39,"efficiency (>= 1.0x median Rs1,303)",120250735383360343,No,
2026-07-20,JUN26-T-063,L2,MCR,258,356560.8,1382.02,1303.39,"efficiency (>= 1.0x median Rs1,303)",120250387732040343,No,
2026-07-21,JUN26-C-039,L1,NET,20,42344.84,2117.24,1238.5,"efficiency (>= 1.0x median Rs1,239)",120249029011420343,No,
2026-07-21,JUN26-C-086,L1,NET,18,27443.19,1524.62,1238.5,"efficiency (>= 1.0x median Rs1,239)",120250735383360343,No,
2026-07-21,JUN26-T-063,L2,MCR,269,365479.32,1358.66,1238.5,"efficiency (>= 1.0x median Rs1,239)",120250387732040343,No,
2026-07-22,JUN26-C-039,L1,NET,20,42757.68,2137.88,1180.38,"efficiency (>= 1.0x median Rs1,180)",120249029011420343,No,
2026-07-22,JUN26-C-086,L1,NET,19,28221.01,1485.32,1180.38,"efficiency (>= 1.0x median Rs1,180)",120250735383360343,No,
2026-07-22,JUN26-T-063,L2,MCR,277,374433.2,1351.74,1180.38,"efficiency (>= 1.0x median Rs1,180)",120250387732040343,No,
2026-07-22,JUN26-C-039,L1,NET,20,42757.68,2137.88,1180.38,"efficiency (>= 1.0x median Rs1,180)",120249029011420343,No,
2026-07-22,JUN26-C-086,L1,NET,19,28221.01,1485.32,1180.38,"efficiency (>= 1.0x median Rs1,180)",120250735383360343,No,
2026-07-22,JUN26-T-063,L2,MCR,277,374433.2,1351.74,1180.38,"efficiency (>= 1.0x median Rs1,180)",120250387732040343,No,
2026-07-23,JUN26-C-086,L1,NET,19,28762.37,1513.81,1174.55,"efficiency (>= 1.0x median Rs1,175)",120250735383360343,No,
2026-07-23,JUN26-T-063,L2,MCR,285,385690.13,1353.3,1174.55,"efficiency (>= 1.0x median Rs1,175)",120250387732040343,No,
2026-07-23,JUN26-T-082,L2,FLEX,17,20180.72,1187.1,1174.55,"efficiency (>= 1.0x median Rs1,175)",120250539089880343,No,
2026-07-24,JUN26-C-086,L1,NET,19,29383.43,1546.5,1150.29,"efficiency (>= 1.0x median Rs1,150)",120250735383360343,No,
2026-07-24,JUN26-T-063,L2,MCR,290,393243.41,1356.01,1150.29,"efficiency (>= 1.0x median Rs1,150)",120250387732040343,No,
2026-07-24,JUN26-T-083,L2,FLEX,214,251684.47,1176.1,1150.29,"efficiency (>= 1.0x median Rs1,150)",120250539093100343,No,
2026-07-25,JUN26-C-092,L1,NET,7,15010.1,2144.3,1241.97,"efficiency (>= 1.0x median Rs1,242)",120250884640660343,Yes,Late
2026-07-25,JUN26-C-039,L1,NET,6,8891.98,1482.0,1241.97,"efficiency (>= 1.0x median Rs1,242)",120249029011420343,No,
2026-07-25,JUN26-C-086,L1,NET,23,31117.68,1352.94,1241.97,"efficiency (>= 1.0x median Rs1,242)",120250735383360343,Yes,Late
2026-07-26,JUN26-C-093,L2,MCR,5,7373.85,1474.77,1147.5,"efficiency (>= 1.0x median Rs1,148)",120250884642980343,No,
2026-07-26,JUN26-T-063,L2,MCR,323,425515.17,1317.38,1147.5,"efficiency (>= 1.0x median Rs1,148)",120250387732040343,No,
2026-07-26,JUN26-C-039,L1,NET,12,14657.46,1221.45,1147.5,"efficiency (>= 1.0x median Rs1,148)",120249029011420343,No,
2026-07-27,JUN26-C-039,L1,NET,11,18217.85,1656.17,1217.85,"efficiency (>= 1.0x median Rs1,218)",120249029011420343,No,
2026-07-27,JUN26-T-063,L2,MCR,318,447299.47,1406.6,1217.85,"efficiency (>= 1.0x median Rs1,218)",120250387732040343,No,
2026-07-27,JUN26-T-083,L2,FLEX,243,302010.88,1242.84,1217.85,"efficiency (>= 1.0x median Rs1,218)",120250539093100343,No,
2026-07-28,JUN26-C-093,L2,MCR,5,13868.93,2773.79,1243.12,"efficiency (>= 1.0x median Rs1,243)",120250884642980343,Yes,Late
2026-07-28,JUN26-C-039,L1,NET,13,20601.85,1584.76,1243.12,"efficiency (>= 1.0x median Rs1,243)",120249029011420343,Yes,Late
2026-07-28,JUN26-T-063,L2,MCR,331,470914.66,1422.7,1243.12,"efficiency (>= 1.0x median Rs1,243)",120250387732040343,No,
2026-08-03,JUL26-C-104,L1,NET,5,13606.93,2721.39,1271.6,"efficiency (> 1.0x median Rs1,272)",120251128740690343,No,
